episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
26,62.7,0.05,95.0,5.0,30.0,65.0,0.0,0.0,409.43,11.96,13.61,0.71,52.0,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.95
27,42.77,0.11,89.0,11.0,3.0,86.0,0.0,0.0,372.16,42.99,11.11,0.74,70.5,0.14,DQN_c8_r8,DQN,8,8,c8_r8,0.89
28,32.58,0.1,90.0,10.0,10.0,80.0,0.0,0.0,520.58,59.91,11.57,0.75,84.5,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.9
29,32.92,0.13,87.0,13.0,1.0,86.0,0.0,0.0,388.46,50.93,8.5,0.81,82.5,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.87
30,32.66,0.13,87.0,13.0,6.0,81.0,0.0,0.0,338.62,57.34,8.59,0.75,94.02,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.87
1,,,218.0,32.0,,,,,621.6,10.18,22.07,0.62,65.12,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.872
2,,,240.0,10.0,,,,,607.25,19.61,21.03,0.54,65.02,0.52,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.96
3,,,228.0,22.0,,,,,580.49,20.71,20.75,0.34,65.14,0.3,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.912
4,,,215.0,35.0,,,,,597.74,20.95,17.33,0.25,65.13,0.32,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.86
5,,,226.0,24.0,,,,,585.93,18.66,24.92,0.62,65.04,0.35,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.904
6,,,245.0,5.0,,,,,574.44,19.43,25.6,0.6,66.44,0.24,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.98
7,,,230.0,20.0,,,,,566.99,20.14,19.57,0.6,65.04,0.29,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.92
8,,,250.0,0.0,,,,,555.9,22.34,17.56,0.65,65.38,0.43,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
9,,,227.0,23.0,,,,,541.43,20.46,23.13,0.77,66.02,0.27,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.908
10,,,207.0,43.0,,,,,542.74,20.51,20.72,0.26,65.0,0.34,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,0.828
11,,,250.0,0.0,,,,,578.34,30.34,19.11,0.35,73.89,0.38,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
12,,,250.0,0.0,,,,,572.58,25.28,24.93,0.6,75.46,0.33,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
13,,,250.0,0.0,,,,,559.69,23.09,23.76,0.69,76.57,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
14,,,250.0,0.0,,,,,610.85,22.58,17.94,0.36,88.96,0.33,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
15,,,250.0,0.0,,,,,625.44,23.21,16.54,0.44,73.58,0.37,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
16,,,250.0,0.0,,,,,633.38,25.2,17.8,0.48,73.5,0.35,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
17,,,250.0,0.0,,,,,618.67,23.92,23.75,0.74,77.18,0.25,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
18,,,250.0,0.0,,,,,628.83,23.06,23.6,0.53,74.11,0.27,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
19,,,250.0,0.0,,,,,628.39,22.73,23.33,0.44,74.98,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
20,,,250.0,0.0,,,,,613.94,23.26,22.69,0.55,76.88,0.3,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
21,,,250.0,0.0,,,,,604.45,52.77,11.47,0.51,161.0,0.46,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
22,,,250.0,0.0,,,,,589.32,53.94,10.19,0.44,161.33,0.37,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
23,,,250.0,0.0,,,,,535.73,39.46,20.1,0.83,161.04,0.26,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
24,,,250.0,0.0,,,,,595.87,43.73,12.28,0.36,163.4,0.32,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
25,,,250.0,0.0,,,,,615.77,43.51,13.24,0.53,162.41,0.33,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
26,,,250.0,0.0,,,,,632.24,46.65,12.34,0.65,187.4,0.28,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
27,,,250.0,0.0,,,,,636.18,47.21,12.15,0.23,161.0,0.44,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
28,,,250.0,0.0,,,,,605.01,48.05,16.08,0.63,162.45,0.25,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
29,,,250.0,0.0,,,,,607.99,46.94,17.56,0.58,161.0,0.31,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
30,,,250.0,0.0,,,,,616.3,46.96,14.16,0.32,162.74,0.4,GeoPQL_c8_r4,GeoPQL,8,4,c8_r4,1.0
1,,,250.0,0.0,,,,,465.57,52.9,23.37,0.71,96.3,0.27,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,1.0
2,,,238.0,12.0,,,,,552.8,38.66,34.57,0.61,96.12,0.27,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.952
3,,,241.0,9.0,,,,,557.08,35.85,27.52,0.33,95.02,0.36,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.964
4,,,240.0,10.0,,,,,524.79,35.82,29.49,0.57,93.5,0.23,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.96
5,,,250.0,0.0,,,,,520.84,31.0,35.79,0.67,95.16,0.26,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,1.0
6,,,250.0,0.0,,,,,531.34,28.84,36.07,0.61,96.12,0.23,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,1.0
7,,,238.0,12.0,,,,,546.37,29.45,23.41,0.31,93.5,0.34,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.952
8,,,249.0,1.0,,,,,537.87,31.7,24.77,0.65,96.76,0.27,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.996
9,,,192.0,58.0,,,,,523.54,34.07,14.02,0.77,93.5,0.24,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.768
10,,,234.0,16.0,,,,,526.63,34.22,24.8,0.25,95.11,0.34,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.936
11,,,229.0,21.0,,,,,651.2,57.29,20.24,0.78,112.34,0.31,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.916
